Iteration,FID Score
0,447.3966557655509
1,268.11208834032107
2,101.48694780013506
3,65.36475637110254
4,54.59866374205819
5,54.41342223186591
6,48.02007061723994
7,45.182599429457696
8,41.60725089759471
9,44.746931083047244
10,38.419417987278564
11,33.54666354990351
12,44.011421325874096
13,33.60003334400294
14,30.276394639486938
15,33.48422776329424
16,35.565110571045025
17,33.84366317926883
18,36.64601778413717
19,29.476792874699584
20,25.1598216822282
21,27.07809918602007
22,28.506119948625468
23,34.44637101038359
24,27.144000845229954
25,28.771983013208427
26,43.799382045840375
27,31.66696920660229
28,29.93626605398873
29,31.153653902339897
30,31.88361200854152
31,43.09510981755918
32,39.29273027281167
33,40.26544209761718
34,31.54118356821911
35,27.6194380667543
36,29.89544709392524
37,27.105489611860634
38,25.955356260641707
39,26.260368968281284
40,23.753798577737683
41,23.00117702239544
42,23.86577546679939
43,23.70890271229169
44,24.74552241092411
45,25.255544950210577
46,22.5675101551505
47,23.85724560793375
48,25.77630871851312
49,24.288135546989167
50,22.570594525854233
